kid,character,strokes,grade,jlpt,readings,translation,freq,rank
953,如,6,7,1,ジョ、ニョ,like; such as; as if,5931,1598
1685,妃,6,7,1,ヒ,queen; princess,2599,1825
1942,妄,6,7,1,モウ、ボウ,without authority; without reason; arbitrarily; unnecessarily; indiscriminately; recklessly,1021,1966
1588,妊,7,7,1,ニン,become pregnant; be pregnant; be filled with,9254,1455
1994,妖,7,7,-,ヨウ、あや-しい,attractive; bewitching; calamity,1638,1902
1917,妙,7,7,1,ミョウ,strange; queer; mystery; miracle; cleverness ,18000,1194
1288,妥,7,7,1,ダ,peace; depravity,9430,1444
1856,妨,7,7,1,ボウ、さまた-げる,disturb; prevent; hamper; hinder; obstruct,8528,1476
1486,妬,8,7,-,ト、ねた-む,be jealous of; be envious of,497,2041
1896,妹,8,2,3,マイ、いもうと,younger sister,11388,1377
696,妻,8,5,2,サイ、つま,(my) wife,53436,751
780,姉,8,2,3,シ、あね,elder sister,12481,1348
779,始,8,3,3,シ、はじ-める、はじ-まる,beginning,175926,277
1112,姓,8,7,2,セイ、ショウ,surname; family name,3025,1788
21,委,8,3,2,イ、ゆだ-ねる,entrust to; discard,200980,251
1715,姫,10,7,1,ひめ,-,9289,1454
50,姻,9,7,1,イン,marry,1079,1963
784,姿,9,6,1,シ、すがた,figure; form; shape; appearance; attire; posture; oneself; portrait; aspect,92831,517
22,威,9,7,1,イ,dignity; majesty; authority,20554,1130
1925,娘,10,7,2,むすめ,-,24495,1066
1053,娠,10,7,1,シン,pregnancy,4721,1676
581,娯,10,7,1,ゴ,pleasure,2725,1816
1610,婆,11,7,-,バ,old woman; grandmother,703,2015
675,婚,11,7,2,コン,marriage,34501,944
1750,婦,11,5,2,フ,woman; wife; bride,47248,800
1125,婿,12,7,1,セイ、むこ,son-in-law,705,2014
1627,媒,12,7,1,バイ,go-between,2509,1833
93,媛,12,7,-,エン,princess; young lady of noble birth,8956,1459
154,嫁,13,7,1,カ、よめ、とつ-ぐ,marry (a man); be married to; blame,5007,1651
836,嫉,13,7,-,シツ,be jealous; envy,464,2044
532,嫌,13,7,1,ケン、[ゲン]、きら-う、いや,dislike; hate; be unwilling (to do something); ,19271,1159
1375,嫡,14,7,1,チャク,legitimacy; legitimate child; legitimate wife; direct descent,387,2059
1025,嬢,16,7,1,ジョウ,girl; daughter; young lady; Miss.,864,1989
760,子,3,1,4,シ、ス、こ,viscount; master; child; male; fruit; seed. offspring; the young (of animals) ,787533,20
591,孔,4,7,1,コウ,hole; aperture; slit; gap; stop (of musical instrument); eyelet; cavity; socket; cave; den; hiding place; pit; fault; defect; deficit; grave; dark horse,1630,1903
807,字,6,1,3,ジ、あざ,character; letter; word; handwriting,108230,455
