Core-index,Vocab-expression,Vocab-kana,Vocab-meaning,jlpt ,Vocab-pos
3648,焦げる,こげる,scorch; burn,JLPT2,Verb
3124,英雄,えいゆう,hero,JLPT1,Noun
3577,山脈,さんみゃく,mountain range,JLPT1,Noun
5233,雄大,ゆうだい,grand; magnificent,JLPT0,Adjective
5639,正に,まさに,just; surely,JLPT0,Adverb
2227,獲得,かくとく,acquisition,JLPT1,Verbal Noun
2701,収穫,しゅうかく,harvest; harvesting,JLPT2,Verbal Noun
5455,幼稚,ようち,childish; infantile,JLPT2,Adjectival Noun
3830,稲,いね,rice plant,JLPT2,Noun
2575,稼ぐ,かせぐ,earn; make money,JLPT2,Verb
3140,学費,がくひ,school expenses; tuition,JLPT0,Noun
4398,名称,めいしょう,name,JLPT1,Noun
4568,秩序,ちつじょ,order; method,JLPT1,Noun
3255,原稿用紙,げんこうようし,manuscript paper; writing pad,JLPT0,Noun
2124,性質,せいしつ,nature; property,JLPT2,Noun
3206,穏やか,おだやか,calm; mild,JLPT2,Adjective
5803,波,なみ,wave; fluctuations,JLPT2,Noun
2097,隠す,かくす,hide; conceal,JLPT2,Verb
2829,驚き,おどろき,surprise; amazement,JLPT1,Noun
2440,お陰,おかげ,help; thanks to,JLPT0,Noun
3670,陰,かげ,shade; behind the scenes,JLPT2,Noun
5394,物陰,ものかげ,place behind something,JLPT0,Noun
4305,魅力,みりょく,charm; attraction,JLPT2,Noun
3872,塊,かたまり,lump; ingot,JLPT2,Noun
5231,醜い,みにくい,ugly; bad-looking,JLPT2,Adjective
3533,卑しい,いやしい,mean; greedy,JLPT1,Adjective
3224,砕く,くだく,crush; smash,JLPT2,Verb
3518,砕ける,くだける,be crushed; break down,JLPT2,Verb
2200,基礎,きそ,basis; foundation,JLPT2,Noun
3113,貝,かい,shellfish; shell,JLPT2,Noun
5547,ぬるぬる,ぬるぬる,slimy,JLPT0,Adverb
5109,浜辺,はまべ,beach; seashore,JLPT1,Noun
3174,賢い,かしこい,wise; smart,JLPT2,Adjective
